FE,N,Eval,d_param,Iteration,Alg
3855,2,Sphere,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
3543,2,Sphere,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
3527,2,Sphere,1,1,cma-es-ppmf-dp-1-pt-0.1
10463,2,Sphere,10,1,cma-es-ppmf-dp-10-pt-0.1
9263,2,Sphere,100,1,cma-es-ppmf-dp-100-pt-0.1
13359,5,Sphere,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
12399,5,Sphere,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
12219,5,Sphere,1,1,cma-es-ppmf-dp-1-pt-0.1
15499,5,Sphere,10,1,cma-es-ppmf-dp-10-pt-0.1
11699,5,Sphere,100,1,cma-es-ppmf-dp-100-pt-0.1
41239,10,Sphere,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
39199,10,Sphere,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
39399,10,Sphere,1,1,cma-es-ppmf-dp-1-pt-0.1
39159,10,Sphere,10,1,cma-es-ppmf-dp-10-pt-0.1
54199,10,Sphere,100,1,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,1,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,1,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,1,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,1,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,1,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,1,cma-es-ppmf-dp-100-pt-0.1
4111,2,Ellips10,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
3695,2,Ellips10,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
3495,2,Ellips10,1,1,cma-es-ppmf-dp-1-pt-0.1
12783,2,Ellips10,10,1,cma-es-ppmf-dp-10-pt-0.1
17663,2,Ellips10,100,1,cma-es-ppmf-dp-100-pt-0.1
13739,5,Ellips10,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
12839,5,Ellips10,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
12379,5,Ellips10,1,1,cma-es-ppmf-dp-1-pt-0.1
9719,5,Ellips10,10,1,cma-es-ppmf-dp-10-pt-0.1
17679,5,Ellips10,100,1,cma-es-ppmf-dp-100-pt-0.1
42839,10,Ellips10,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
40079,10,Ellips10,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
40119,10,Ellips10,1,1,cma-es-ppmf-dp-1-pt-0.1
37679,10,Ellips10,10,1,cma-es-ppmf-dp-10-pt-0.1
34039,10,Ellips10,100,1,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,1,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,1,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,1,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,1,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,1,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,1,cma-es-ppmf-dp-100-pt-0.1
4567,2,Ellips100,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
3871,2,Ellips100,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
3631,2,Ellips100,1,1,cma-es-ppmf-dp-1-pt-0.1
9415,2,Ellips100,10,1,cma-es-ppmf-dp-10-pt-0.1
10215,2,Ellips100,100,1,cma-es-ppmf-dp-100-pt-0.1
14359,5,Ellips100,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
13179,5,Ellips100,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
12919,5,Ellips100,1,1,cma-es-ppmf-dp-1-pt-0.1
15219,5,Ellips100,10,1,cma-es-ppmf-dp-10-pt-0.1
18619,5,Ellips100,100,1,cma-es-ppmf-dp-100-pt-0.1
43959,10,Ellips100,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
41279,10,Ellips100,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
41399,10,Ellips100,1,1,cma-es-ppmf-dp-1-pt-0.1
38999,10,Ellips100,10,1,cma-es-ppmf-dp-10-pt-0.1
40519,10,Ellips100,100,1,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,1,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,1,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,1,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,1,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,1,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,1,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,1,cma-es-ppmf-dp-100-pt-0.1
3879,2,Sphere,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
3671,2,Sphere,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
3495,2,Sphere,1,2,cma-es-ppmf-dp-1-pt-0.1
6375,2,Sphere,10,2,cma-es-ppmf-dp-10-pt-0.1
17087,2,Sphere,100,2,cma-es-ppmf-dp-100-pt-0.1
13619,5,Sphere,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
12559,5,Sphere,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
12399,5,Sphere,1,2,cma-es-ppmf-dp-1-pt-0.1
17159,5,Sphere,10,2,cma-es-ppmf-dp-10-pt-0.1
16299,5,Sphere,100,2,cma-es-ppmf-dp-100-pt-0.1
41799,10,Sphere,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
39239,10,Sphere,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
39279,10,Sphere,1,2,cma-es-ppmf-dp-1-pt-0.1
31799,10,Sphere,10,2,cma-es-ppmf-dp-10-pt-0.1
44239,10,Sphere,100,2,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,2,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,2,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,2,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,2,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,2,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,2,cma-es-ppmf-dp-100-pt-0.1
3855,2,Ellips10,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
3687,2,Ellips10,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
3551,2,Ellips10,1,2,cma-es-ppmf-dp-1-pt-0.1
11455,2,Ellips10,10,2,cma-es-ppmf-dp-10-pt-0.1
10671,2,Ellips10,100,2,cma-es-ppmf-dp-100-pt-0.1
13579,5,Ellips10,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
12699,5,Ellips10,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
12379,5,Ellips10,1,2,cma-es-ppmf-dp-1-pt-0.1
16439,5,Ellips10,10,2,cma-es-ppmf-dp-10-pt-0.1
15319,5,Ellips10,100,2,cma-es-ppmf-dp-100-pt-0.1
43279,10,Ellips10,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
39959,10,Ellips10,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
40239,10,Ellips10,1,2,cma-es-ppmf-dp-1-pt-0.1
32599,10,Ellips10,10,2,cma-es-ppmf-dp-10-pt-0.1
48799,10,Ellips10,100,2,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,2,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,2,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,2,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,2,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,2,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,2,cma-es-ppmf-dp-100-pt-0.1
4255,2,Ellips100,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
3735,2,Ellips100,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
3751,2,Ellips100,1,2,cma-es-ppmf-dp-1-pt-0.1
11815,2,Ellips100,10,2,cma-es-ppmf-dp-10-pt-0.1
8871,2,Ellips100,100,2,cma-es-ppmf-dp-100-pt-0.1
14379,5,Ellips100,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
13019,5,Ellips100,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
12839,5,Ellips100,1,2,cma-es-ppmf-dp-1-pt-0.1
21359,5,Ellips100,10,2,cma-es-ppmf-dp-10-pt-0.1
12959,5,Ellips100,100,2,cma-es-ppmf-dp-100-pt-0.1
44519,10,Ellips100,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
40719,10,Ellips100,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
41799,10,Ellips100,1,2,cma-es-ppmf-dp-1-pt-0.1
44559,10,Ellips100,10,2,cma-es-ppmf-dp-10-pt-0.1
37679,10,Ellips100,100,2,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,2,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,2,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,2,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,2,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,2,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,2,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,2,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,2,cma-es-ppmf-dp-100-pt-0.1
3775,2,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
3655,2,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
3479,2,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
16647,2,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
5583,2,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
13219,5,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
12359,5,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
12219,5,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
17519,5,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
25259,5,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
42319,10,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
39599,10,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
39399,10,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
36719,10,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
38359,10,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,3,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,3,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,3,cma-es-ppmf-dp-100-pt-0.1
4087,2,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
3855,2,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
3607,2,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
4687,2,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
5935,2,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
14639,5,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
12579,5,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
12419,5,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
11459,5,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
13519,5,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
42799,10,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
39919,10,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
40319,10,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
33599,10,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
49159,10,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,3,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,3,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,3,cma-es-ppmf-dp-100-pt-0.1
4319,2,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
3791,2,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
3639,2,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
3903,2,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
9999,2,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
14959,5,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
13079,5,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
12539,5,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
15539,5,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
17619,5,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
43879,10,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
40959,10,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
41639,10,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
40999,10,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
42919,10,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,3,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,3,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,3,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,3,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,3,cma-es-ppmf-dp-100-pt-0.1
4431,2,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
3655,2,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
3503,2,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
10799,2,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
5919,2,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
13579,5,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
12399,5,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
12079,5,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
15179,5,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
19339,5,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
41159,10,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
39239,10,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
39719,10,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
39919,10,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
40919,10,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
4239,2,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
3775,2,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
3447,2,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
8095,2,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
8255,2,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
13699,5,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
12479,5,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
12559,5,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
15839,5,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
16539,5,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
42319,10,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
40079,10,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
40439,10,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
33079,10,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
47279,10,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
4303,2,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
3823,2,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
3799,2,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
3223,2,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
12167,2,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
14899,5,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
13219,5,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
12979,5,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
12339,5,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
18259,5,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
44799,10,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
41239,10,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
41159,10,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
40559,10,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
42079,10,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
3871,2,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
3719,2,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
3407,2,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
