FE,N,Eval,d_param,Iteration,Alg
11471,2,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
17743,2,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
13999,5,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
12539,5,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
12199,5,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
11859,5,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
12579,5,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
41399,10,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
39119,10,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
39559,10,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
34239,10,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
54479,10,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,5,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,5,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,5,cma-es-ppmf-dp-100-pt-0.1
3983,2,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
3719,2,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
3591,2,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
6887,2,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
5735,2,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
13539,5,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
12679,5,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
12439,5,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
16539,5,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
26299,5,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
42359,10,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
40319,10,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
39999,10,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
31599,10,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
38919,10,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
4207,2,Ellips100,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
3791,2,Ellips100,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
3647,2,Ellips100,1,5,cma-es-ppmf-dp-1-pt-0.1
10255,2,Ellips100,10,5,cma-es-ppmf-dp-10-pt-0.1
19055,2,Ellips100,100,5,cma-es-ppmf-dp-100-pt-0.1
14419,5,Ellips100,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
13179,5,Ellips100,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
12899,5,Ellips100,1,5,cma-es-ppmf-dp-1-pt-0.1
19779,5,Ellips100,10,5,cma-es-ppmf-dp-10-pt-0.1
16479,5,Ellips100,100,5,cma-es-ppmf-dp-100-pt-0.1
44599,10,Ellips100,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
41319,10,Ellips100,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
41399,10,Ellips100,1,5,cma-es-ppmf-dp-1-pt-0.1
40319,10,Ellips100,10,5,cma-es-ppmf-dp-10-pt-0.1
39919,10,Ellips100,100,5,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,5,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,5,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,5,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,5,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,5,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,5,cma-es-ppmf-dp-100-pt-0.1
3919,2,Sphere,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
3671,2,Sphere,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
3343,2,Sphere,1,6,cma-es-ppmf-dp-1-pt-0.1
14031,2,Sphere,10,6,cma-es-ppmf-dp-10-pt-0.1
19103,2,Sphere,100,6,cma-es-ppmf-dp-100-pt-0.1
13059,5,Sphere,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
12479,5,Sphere,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
12319,5,Sphere,1,6,cma-es-ppmf-dp-1-pt-0.1
9459,5,Sphere,10,6,cma-es-ppmf-dp-10-pt-0.1
21979,5,Sphere,100,6,cma-es-ppmf-dp-100-pt-0.1
41679,10,Sphere,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
39199,10,Sphere,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
39399,10,Sphere,1,6,cma-es-ppmf-dp-1-pt-0.1
41599,10,Sphere,10,6,cma-es-ppmf-dp-10-pt-0.1
42399,10,Sphere,100,6,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,6,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,6,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,6,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,6,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,6,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,6,cma-es-ppmf-dp-100-pt-0.1
3871,2,Ellips10,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
3751,2,Ellips10,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
3703,2,Ellips10,1,6,cma-es-ppmf-dp-1-pt-0.1
7151,2,Ellips10,10,6,cma-es-ppmf-dp-10-pt-0.1
15583,2,Ellips10,100,6,cma-es-ppmf-dp-100-pt-0.1
13459,5,Ellips10,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
12599,5,Ellips10,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
12539,5,Ellips10,1,6,cma-es-ppmf-dp-1-pt-0.1
10039,5,Ellips10,10,6,cma-es-ppmf-dp-10-pt-0.1
22519,5,Ellips10,100,6,cma-es-ppmf-dp-100-pt-0.1
43639,10,Ellips10,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
40199,10,Ellips10,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
40479,10,Ellips10,1,6,cma-es-ppmf-dp-1-pt-0.1
41199,10,Ellips10,10,6,cma-es-ppmf-dp-10-pt-0.1
45199,10,Ellips10,100,6,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,6,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,6,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,6,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,6,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,6,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,6,cma-es-ppmf-dp-100-pt-0.1
4303,2,Ellips100,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
3855,2,Ellips100,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
3695,2,Ellips100,1,6,cma-es-ppmf-dp-1-pt-0.1
8055,2,Ellips100,10,6,cma-es-ppmf-dp-10-pt-0.1
6487,2,Ellips100,100,6,cma-es-ppmf-dp-100-pt-0.1
15279,5,Ellips100,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
13119,5,Ellips100,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
12599,5,Ellips100,1,6,cma-es-ppmf-dp-1-pt-0.1
19619,5,Ellips100,10,6,cma-es-ppmf-dp-10-pt-0.1
15099,5,Ellips100,100,6,cma-es-ppmf-dp-100-pt-0.1
44199,10,Ellips100,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
41359,10,Ellips100,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
41359,10,Ellips100,1,6,cma-es-ppmf-dp-1-pt-0.1
41559,10,Ellips100,10,6,cma-es-ppmf-dp-10-pt-0.1
50359,10,Ellips100,100,6,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,6,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,6,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,6,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,6,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,6,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,6,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,6,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,6,cma-es-ppmf-dp-100-pt-0.1
3999,2,Sphere,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
3567,2,Sphere,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
3487,2,Sphere,1,7,cma-es-ppmf-dp-1-pt-0.1
6935,2,Sphere,10,7,cma-es-ppmf-dp-10-pt-0.1
7471,2,Sphere,100,7,cma-es-ppmf-dp-100-pt-0.1
13719,5,Sphere,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
12399,5,Sphere,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
12119,5,Sphere,1,7,cma-es-ppmf-dp-1-pt-0.1
13439,5,Sphere,10,7,cma-es-ppmf-dp-10-pt-0.1
15239,5,Sphere,100,7,cma-es-ppmf-dp-100-pt-0.1
41399,10,Sphere,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
38959,10,Sphere,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
39319,10,Sphere,1,7,cma-es-ppmf-dp-1-pt-0.1
39639,10,Sphere,10,7,cma-es-ppmf-dp-10-pt-0.1
37439,10,Sphere,100,7,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,7,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,7,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,7,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,7,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,7,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,7,cma-es-ppmf-dp-100-pt-0.1
4199,2,Ellips10,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
3727,2,Ellips10,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
3503,2,Ellips10,1,7,cma-es-ppmf-dp-1-pt-0.1
11567,2,Ellips10,10,7,cma-es-ppmf-dp-10-pt-0.1
19223,2,Ellips10,100,7,cma-es-ppmf-dp-100-pt-0.1
13659,5,Ellips10,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
12879,5,Ellips10,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
12599,5,Ellips10,1,7,cma-es-ppmf-dp-1-pt-0.1
13939,5,Ellips10,10,7,cma-es-ppmf-dp-10-pt-0.1
14319,5,Ellips10,100,7,cma-es-ppmf-dp-100-pt-0.1
42319,10,Ellips10,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
39879,10,Ellips10,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
40079,10,Ellips10,1,7,cma-es-ppmf-dp-1-pt-0.1
35079,10,Ellips10,10,7,cma-es-ppmf-dp-10-pt-0.1
42119,10,Ellips10,100,7,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,7,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,7,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,7,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,7,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,7,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,7,cma-es-ppmf-dp-100-pt-0.1
4231,2,Ellips100,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
3791,2,Ellips100,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
3919,2,Ellips100,1,7,cma-es-ppmf-dp-1-pt-0.1
5975,2,Ellips100,10,7,cma-es-ppmf-dp-10-pt-0.1
7503,2,Ellips100,100,7,cma-es-ppmf-dp-100-pt-0.1
14579,5,Ellips100,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
13039,5,Ellips100,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
12899,5,Ellips100,1,7,cma-es-ppmf-dp-1-pt-0.1
16779,5,Ellips100,10,7,cma-es-ppmf-dp-10-pt-0.1
15799,5,Ellips100,100,7,cma-es-ppmf-dp-100-pt-0.1
44279,10,Ellips100,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
41439,10,Ellips100,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
41799,10,Ellips100,1,7,cma-es-ppmf-dp-1-pt-0.1
36959,10,Ellips100,10,7,cma-es-ppmf-dp-10-pt-0.1
44479,10,Ellips100,100,7,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,7,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,7,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,7,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,7,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,7,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,7,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,7,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,7,cma-es-ppmf-dp-100-pt-0.1
4015,2,Sphere,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
3639,2,Sphere,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
3399,2,Sphere,1,8,cma-es-ppmf-dp-1-pt-0.1
7143,2,Sphere,10,8,cma-es-ppmf-dp-10-pt-0.1
6023,2,Sphere,100,8,cma-es-ppmf-dp-100-pt-0.1
13819,5,Sphere,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
12359,5,Sphere,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
12359,5,Sphere,1,8,cma-es-ppmf-dp-1-pt-0.1
12199,5,Sphere,10,8,cma-es-ppmf-dp-10-pt-0.1
13659,5,Sphere,100,8,cma-es-ppmf-dp-100-pt-0.1
41399,10,Sphere,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
39159,10,Sphere,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
39399,10,Sphere,1,8,cma-es-ppmf-dp-1-pt-0.1
36879,10,Sphere,10,8,cma-es-ppmf-dp-10-pt-0.1
44719,10,Sphere,100,8,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,8,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,8,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,8,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,8,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,8,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,8,cma-es-ppmf-dp-100-pt-0.1
4159,2,Ellips10,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
3663,2,Ellips10,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
3567,2,Ellips10,1,8,cma-es-ppmf-dp-1-pt-0.1
14375,2,Ellips10,10,8,cma-es-ppmf-dp-10-pt-0.1
4719,2,Ellips10,100,8,cma-es-ppmf-dp-100-pt-0.1
13519,5,Ellips10,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
12679,5,Ellips10,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
12379,5,Ellips10,1,8,cma-es-ppmf-dp-1-pt-0.1
16179,5,Ellips10,10,8,cma-es-ppmf-dp-10-pt-0.1
19159,5,Ellips10,100,8,cma-es-ppmf-dp-100-pt-0.1
42479,10,Ellips10,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
39759,10,Ellips10,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
40199,10,Ellips10,1,8,cma-es-ppmf-dp-1-pt-0.1
46919,10,Ellips10,10,8,cma-es-ppmf-dp-10-pt-0.1
56279,10,Ellips10,100,8,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,8,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,8,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,8,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,8,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,8,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,8,cma-es-ppmf-dp-100-pt-0.1
4503,2,Ellips100,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
3895,2,Ellips100,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
3711,2,Ellips100,1,8,cma-es-ppmf-dp-1-pt-0.1
5647,2,Ellips100,10,8,cma-es-ppmf-dp-10-pt-0.1
7887,2,Ellips100,100,8,cma-es-ppmf-dp-100-pt-0.1
15299,5,Ellips100,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
13139,5,Ellips100,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
12879,5,Ellips100,1,8,cma-es-ppmf-dp-1-pt-0.1
14059,5,Ellips100,10,8,cma-es-ppmf-dp-10-pt-0.1
17779,5,Ellips100,100,8,cma-es-ppmf-dp-100-pt-0.1
43559,10,Ellips100,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
41159,10,Ellips100,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
41799,10,Ellips100,1,8,cma-es-ppmf-dp-1-pt-0.1
38879,10,Ellips100,10,8,cma-es-ppmf-dp-10-pt-0.1
44959,10,Ellips100,100,8,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips100,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips100,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips100,1,8,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips100,10,8,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips100,100,8,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips100,0.01,8,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips100,0.1,8,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips100,1,8,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips100,10,8,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips100,100,8,cma-es-ppmf-dp-100-pt-0.1
3983,2,Sphere,0.01,9,cma-es-ppmf-dp-0.01-pt-0.1
3623,2,Sphere,0.1,9,cma-es-ppmf-dp-0.1-pt-0.1
3463,2,Sphere,1,9,cma-es-ppmf-dp-1-pt-0.1
18319,2,Sphere,10,9,cma-es-ppmf-dp-10-pt-0.1
7759,2,Sphere,100,9,cma-es-ppmf-dp-100-pt-0.1
13599,5,Sphere,0.01,9,cma-es-ppmf-dp-0.01-pt-0.1
