FE,N,Eval,sigma,Iteration,Alg
4415,2,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4039,2,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
3831,2,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3503,2,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
3263,2,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
3023,2,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
2671,2,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
15859,5,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
14539,5,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
13719,5,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
12319,5,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
11539,5,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
10519,5,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
9259,5,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
53079,10,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
49679,10,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
46319,10,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
42599,10,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
38159,10,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
34799,10,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
31359,10,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1000,1,cma-es-ppmf-dp-2-pt-0.1
4663,2,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4239,2,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
3911,2,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3415,2,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
3303,2,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
2975,2,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
2703,2,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
16119,5,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
14839,5,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
13799,5,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
12679,5,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
11499,5,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
10459,5,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
9699,5,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
53879,10,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
50999,10,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
46519,10,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
43439,10,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
39799,10,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
35799,10,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
32399,10,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1000,1,cma-es-ppmf-dp-2-pt-0.1
4711,2,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
4423,2,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
4023,2,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
3871,2,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
3511,2,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
3135,2,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
2831,2,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
16319,5,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
15219,5,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
14379,5,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
12879,5,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
11959,5,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
10799,5,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
9679,5,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
55519,10,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
51279,10,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
48199,10,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
44159,10,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
40879,10,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
37319,10,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
33799,10,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.001,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.01,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,10,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,100,1,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1000,1,cma-es-ppmf-dp-2-pt-0.1
4359,2,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4335,2,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3807,2,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3391,2,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
3191,2,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
2863,2,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
2679,2,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
15819,5,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
14539,5,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
13779,5,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
12139,5,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
11439,5,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
10379,5,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
9299,5,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
52879,10,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
49839,10,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
45879,10,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
42479,10,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
38999,10,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
35359,10,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
31599,10,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.001,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.01,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,10,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,100,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1000,2,cma-es-ppmf-dp-2-pt-0.1
4655,2,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4327,2,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
3991,2,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3567,2,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
3263,2,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
3103,2,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
2751,2,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
15679,5,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
14839,5,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
13599,5,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
12619,5,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
11779,5,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
10639,5,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
9399,5,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
54039,10,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
50199,10,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
47159,10,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
43279,10,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
40319,10,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
35839,10,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
32559,10,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.001,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.01,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,10,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,100,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1000,2,cma-es-ppmf-dp-2-pt-0.1
4671,2,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
4623,2,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
4039,2,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
3687,2,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
3503,2,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
2919,2,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
2879,2,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
16299,5,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
15199,5,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
14079,5,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
12819,5,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
11859,5,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
10899,5,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
9899,5,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
55839,10,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
52199,10,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
48519,10,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
44759,10,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
40639,10,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
37559,10,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
33879,10,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.001,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.01,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
4463,2,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4159,2,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
4023,2,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3495,2,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
3207,2,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
2959,2,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
2511,2,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
15699,5,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
14419,5,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
13779,5,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
12499,5,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
11479,5,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
10259,5,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
9339,5,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
53519,10,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
50079,10,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
46159,10,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
42959,10,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
38999,10,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
35119,10,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
31639,10,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.001,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.01,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
4575,2,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4215,2,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
3991,2,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3671,2,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
3159,2,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
3023,2,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
2767,2,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
16099,5,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
14579,5,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
13859,5,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
12979,5,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
11479,5,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
10499,5,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
9579,5,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
54399,10,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
51119,10,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
46559,10,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
43799,10,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
39519,10,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
35999,10,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
32599,10,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.001,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.01,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
4727,2,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
4351,2,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
3983,2,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3679,2,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
3551,2,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
3047,2,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
2887,2,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
16359,5,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
15179,5,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
14139,5,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
12959,5,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
11899,5,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
10999,5,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
9799,5,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
55919,10,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
51879,10,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
47759,10,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
44799,10,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
40959,10,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
37239,10,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
33919,10,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.001,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.01,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,10,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,100,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1000,3,cma-es-ppmf-dp-2-pt-0.1
4543,2,Sphere,0.001,4,cma-es-ppmf-dp-2-pt-0.1
4215,2,Sphere,0.01,4,cma-es-ppmf-dp-2-pt-0.1
3767,2,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
3479,2,Sphere,1,4,cma-es-ppmf-dp-2-pt-0.1
3207,2,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
2935,2,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
2543,2,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
15699,5,Sphere,0.001,4,cma-es-ppmf-dp-2-pt-0.1
14499,5,Sphere,0.01,4,cma-es-ppmf-dp-2-pt-0.1
13559,5,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
12439,5,Sphere,1,4,cma-es-ppmf-dp-2-pt-0.1
11319,5,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
10179,5,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
9419,5,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
53079,10,Sphere,0.001,4,cma-es-ppmf-dp-2-pt-0.1
49679,10,Sphere,0.01,4,cma-es-ppmf-dp-2-pt-0.1
46079,10,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
42719,10,Sphere,1,4,cma-es-ppmf-dp-2-pt-0.1
39239,10,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
35239,10,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
31959,10,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.001,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.01,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,10,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,100,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,1000,4,cma-es-ppmf-dp-2-pt-0.1
4759,2,Ellips10,0.001,4,cma-es-ppmf-dp-2-pt-0.1
4247,2,Ellips10,0.01,4,cma-es-ppmf-dp-2-pt-0.1
4119,2,Ellips10,0.1,4,cma-es-ppmf-dp-2-pt-0.1
3727,2,Ellips10,1,4,cma-es-ppmf-dp-2-pt-0.1
3391,2,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
3215,2,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
2735,2,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
15839,5,Ellips10,0.001,4,cma-es-ppmf-dp-2-pt-0.1
15039,5,Ellips10,0.01,4,cma-es-ppmf-dp-2-pt-0.1
13779,5,Ellips10,0.1,4,cma-es-ppmf-dp-2-pt-0.1
12859,5,Ellips10,1,4,cma-es-ppmf-dp-2-pt-0.1
11799,5,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
10699,5,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
9379,5,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
54359,10,Ellips10,0.001,4,cma-es-ppmf-dp-2-pt-0.1
50639,10,Ellips10,0.01,4,cma-es-ppmf-dp-2-pt-0.1
46599,10,Ellips10,0.1,4,cma-es-ppmf-dp-2-pt-0.1
42879,10,Ellips10,1,4,cma-es-ppmf-dp-2-pt-0.1
39559,10,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
35839,10,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
32519,10,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.001,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.01,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.1,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,10,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,100,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,1000,4,cma-es-ppmf-dp-2-pt-0.1
4631,2,Ellips100,0.001,4,cma-es-ppmf-dp-2-pt-0.1
4399,2,Ellips100,0.01,4,cma-es-ppmf-dp-2-pt-0.1
4055,2,Ellips100,0.1,4,cma-es-ppmf-dp-2-pt-0.1
3655,2,Ellips100,1,4,cma-es-ppmf-dp-2-pt-0.1
3375,2,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
3175,2,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
2895,2,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
16419,5,Ellips100,0.001,4,cma-es-ppmf-dp-2-pt-0.1
15339,5,Ellips100,0.01,4,cma-es-ppmf-dp-2-pt-0.1
14099,5,Ellips100,0.1,4,cma-es-ppmf-dp-2-pt-0.1
13279,5,Ellips100,1,4,cma-es-ppmf-dp-2-pt-0.1
11799,5,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
11099,5,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
9899,5,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
55799,10,Ellips100,0.001,4,cma-es-ppmf-dp-2-pt-0.1
52519,10,Ellips100,0.01,4,cma-es-ppmf-dp-2-pt-0.1
47919,10,Ellips100,0.1,4,cma-es-ppmf-dp-2-pt-0.1
44359,10,Ellips100,1,4,cma-es-ppmf-dp-2-pt-0.1
40719,10,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
37639,10,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
34039,10,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.001,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.01,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,0.1,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,10,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,100,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips100,1000,4,cma-es-ppmf-dp-2-pt-0.1
4655,2,Sphere,0.001,5,cma-es-ppmf-dp-2-pt-0.1
4143,2,Sphere,0.01,5,cma-es-ppmf-dp-2-pt-0.1
3823,2,Sphere,0.1,5,cma-es-ppmf-dp-2-pt-0.1
